key_mlbam,name_first,name_last,full_name
121942,milt,scott,milt scott
818863,matthew,jackson,matthew jackson
110587,ross,barnes,ross barnes
120256,dixie,parsons,dixie parsons
819904,vernon,cunningham,vernon cunningham
111867,miguel,cairo,miguel cairo
118187,josé,malavé,josé malavé
111597,jumbo,brown,jumbo brown
681464,frank,german,frank german
116408,john,irwin,john irwin
113222,tom,delahanty,tom delahanty
124694,don,young,don young
114339,steve,foster,steve foster
430564,sam,marsonek,sam marsonek
121174,al,richter,al richter
816764,tom,walker,tom walker
119021,jack,meyers,jack meyers
150297,derrin,ebert,derrin ebert
456121,chris,denorfia,chris denorfia
120247,steve,parris,steve parris
124075,john,wells,john wells
110503,james,baldwin,james baldwin
115792,bill,henry,bill henry
121344,bill,rodgers,bill rodgers
118243,jim,manning,jim manning
114204,tom,fitzsimmons,tom fitzsimmons
111157,charlie,bohn,charlie bohn
816914,albert,toney,albert toney
408236,adrián,gonzález,adrián gonzález
116444,sam,jackson,sam jackson
121403,tony,roig,tony roig
117207,joe,knotts,joe knotts
121694,josé,santiago,josé santiago
113022,tom,daly,tom daly
118368,tony,martínez,tony martínez
111619,andy,bruckmiller,andy bruckmiller
819360,walter,goines,walter goines
113183,doug,decinces,doug decinces
820605,norman,banks,norman banks
119485,joe,muir,joe muir
669461,matthew,liberatore,matthew liberatore
608360,chris,okey,chris okey
124765,benny,zientara,benny zientara
115538,bill,harris,bill harris
122974,billy,sullivan,billy sullivan
119937,harry,o'donnell,harry o'donnell
518617,jake,diekman,jake diekman
119660,ken,nash,ken nash
124784,eddie,zosky,eddie zosky
519048,mitch,moreland,mitch moreland
656896,emmanuel,rivera,emmanuel rivera
817935,john henry,oliver,john henry oliver
618781,jeff,horrigan,jeff horrigan
113195,shorty,dee,shorty dee
119897,john,o'brien,john o'brien
118807,wayne,mcleland,wayne mcleland
816554,lincoln,williams,lincoln williams
817924,grady,orange,grady orange
573596,pat,hoberg,pat hoberg
150005,bret,hemphill,bret hemphill
110897,bill,bergen,bill bergen
111944,sal,campisi,sal campisi
434939,ryan,garko,ryan garko
112257,bobby,chouinard,bobby chouinard
819015,johnny,hill,johnny hill
112752,danny,cox,danny cox
118779,joel,mckeon,joel mckeon
112392,fred,clement,fred clement
122927,pete,suder,pete suder
279566,nathan,haynes,nathan haynes
669352,bubba,thompson,bubba thompson
119633,jack,nabors,jack nabors
819125,rufus,hatten,rufus hatten
112285,darryl,cias,darryl cias
113810,glenn,elliott,glenn elliott
117047,john,kiley,john kiley
466252,mike,calitri,mike calitri
623214,abiatal,avelino,abiatal avelino
427436,euky,rojas,euky rojas
110459,doug,baird,doug baird
117124,harry,kirsch,harry kirsch
116390,charlie,ingraham,charlie ingraham
116904,rickey,keeton,rickey keeton
116465,jake,jaeckel,jake jaeckel
121005,nick,reeder,nick reeder
150287,corey,lee,corey lee
124431,bill,wilson,bill wilson
118120,greg,maddux,greg maddux
111916,bert,campaneris,bert campaneris
443563,alex,serrano,alex serrano
117278,josef,koukalik,josef koukalik
110941,harry,berte,harry berte
122764,dave,stevens,dave stevens
123264,stan,thomas,stan thomas
114982,joe,gormley,joe gormley
115710,don,heinkel,don heinkel
115322,ed,halbriter,ed halbriter
115233,skip,guinn,skip guinn
408097,arnie,muñoz,arnie muñoz
817839,pat,patterson,pat patterson
119110,bob,miller,bob miller
819889,ray,dandridge,ray dandridge
591701,alejandro,chacín,alejandro chacín
425526,pete,laforest,pete laforest
120564,bill,piercy,bill piercy
112767,billy,cox,billy cox
110022,woody,abernathy,woody abernathy
120190,orlando,palmeiro,orlando palmeiro
113086,claude,davidson,claude davidson
407800,alex,graman,alex graman
816596,chester,williams,chester williams
113187,george,decker,george decker
124704,kevin,young,kevin young
112010,roy,carlyle,roy carlyle
435039,anthony,reyes,anthony reyes
816506,james,wilson,james wilson
543432,ryan,lavarnway,ryan lavarnway
124608,mel,wright,mel wright
114595,chico,garcía,chico garcía
118706,jim,mcginley,jim mcginley
444876,alcides,escobar,alcides escobar
820655,carlos,ascanio,carlos ascanio
123836,mike,walker,mike walker
115057,frank,graves,frank graves
113087,homer,davidson,homer davidson
663697,jonathan,india,jonathan india
111473,bill,brinker,bill brinker
117797,ed,linke,ed linke
119692,bob,neighbors,bob neighbors
677956,rece,hinds,rece hinds
118514,dick,mcauliffe,dick mcauliffe
118508,jamie,mcandrew,jamie mcandrew
817131,henry,spearman,henry spearman
117284,joe,kracher,joe kracher
476807,tom,harmon,tom harmon
114885,billy,goeckel,billy goeckel
118147,tom,magrann,tom magrann
433594,adam,peterson,adam peterson
819658,chancelor,edwards,chancelor edwards
116250,bill,hubbell,bill hubbell
543037,gerrit,cole,gerrit cole
656537,derek,hill,derek hill
119474,don,mueller,don mueller
118596,jim,mccormick,jim mccormick
124629,weldon,wyckoff,weldon wyckoff
450729,doug,fister,doug fister
114183,max,fiske,max fiske
122497,j. t.,snow,j. t. snow
118944,minnie,mendoza,minnie mendoza
114039,charlie,faust,charlie faust
492527,mike,rojas,mike rojas
817845,pedro,pastor,pedro pastor
110520,tony,balsamo,tony balsamo
682641,luis,matos,luis matos
431028,barry,fritz,barry fritz
114953,ed,goodson,ed goodson
115784,dutch,henry,dutch henry
670550,nivaldo,rodriguez,nivaldo rodriguez
115547,earl,harrist,earl harrist
113598,hugh,duffy,hugh duffy
116409,tommy,irwin,tommy irwin
123456,bill,tremel,bill tremel
150319,josh,fogg,josh fogg
120178,mike,pagliarulo,mike pagliarulo
123874,austin,walsh,austin walsh
120235,billy,parker,billy parker
408211,kevin,cash,kevin cash
819147,tommy,harris,tommy harris
594965,daniel,ponce de leon,daniel ponce de leon
119103,paul,miller,paul miller
111679,henry,buker,henry buker
593643,hanser,alberto,hanser alberto
817554,vidal,richardson,vidal richardson
113606,jim,duggan,jim duggan
446003,jairo,asencio,jairo asencio
111696,ernie,burch,ernie burch
133740,bart,evans,bart evans
115349,darren,hall,darren hall
215197,matt,ginter,matt ginter
116417,ray,jablonski,ray jablonski
123252,lee,thomas,lee thomas
110835,terry,bell,terry bell
452095,tyler,flowers,tyler flowers
119537,tim,murchison,tim murchison
623437,justin,topa,justin topa
117140,ollie,klee,ollie klee
113020,sun,daly,sun daly
114515,chick,gagnon,chick gagnon
113665,red,durrett,red durrett
121857,jerry,schoonmaker,jerry schoonmaker
123823,gee,walker,gee walker
817214,big bill,smith,big bill smith
548389,ross,stripling,ross stripling
430588,fernando,nieve,fernando nieve
121077,andy,replogle,andy replogle
120988,gary,redus,gary redus
118415,joe,mathes,joe mathes
116688,gordon,jones,gordon jones
676194,jackson,tetreault,jackson tetreault
118094,eric,mackenzie,eric mackenzie
115916,andy,high,andy high
115854,marty,herrmann,marty herrmann
819408,bill,gatewood,bill gatewood
219494,steve,rain,steve rain
818049,pepper,morgan,pepper morgan
817550,curtis,ricks,curtis ricks
113592,jim,duffalo,jim duffalo
427184,greg,gibson,greg gibson
820522,plácido,bernal,plácido bernal
115443,frank,hansford,frank hansford
110794,andy,beene,andy beene
458061,germán,durán,germán durán
112012,george,carman,george carman
605164,dylan,bundy,dylan bundy
110978,oscar,bielaski,oscar bielaski
817516,specs,roberts,specs roberts
120735,les,powers,les powers
121663,rey,sánchez,rey sánchez
595284,andrew,knapp,andrew knapp
124711,dick,young,dick young
656354,austin,davis,austin davis
123936,cy,warmoth,cy warmoth
121944,dick,scott,dick scott
119646,frank,naleway,frank naleway
111440,marv,breuer,marv breuer
475054,chaz,roe,chaz roe
119488,terry,mulholland,terry mulholland
118947,ramiro,mendoza,ramiro mendoza
819612,charley,evans,charley evans
122945,frank,sullivan,frank sullivan
114828,joe,ginsberg,joe ginsberg
817165,theolic,smith,theolic smith
642067,mike,shawaryn,mike shawaryn
553970,ángel,nesbitt,ángel nesbitt
114404,jimmy,freeman,jimmy freeman
119902,pete,o'brien,pete o'brien
119443,charlie,moss,charlie moss
110969,monte,beville,monte beville
120935,vic,raschi,vic raschi
819883,george,daniels,george daniels
503077,adam,hamari,adam hamari
123583,billy,urbanski,billy urbanski
